date,title,source,link
2026-08-04 09:38:31,虛擬資產10月境內移轉，精誠 (6214) 關鍵機會在哪？-周哲翰 - CMoney投資網誌,CMoney投資網誌,https://cmnews.com.tw/article/zhouzhehan-41888682-8fe8-11f1-a6be-7fd1443e49ae
2026-08-04 09:38:31,虛擬資產10月境內移轉，精誠 (6214) 關鍵機會在哪？-周哲翰 - cmnews.com.tw,cmnews.com.tw,https://cmnews.com.tw/article/zhouzhehan-41888682-8fe8-11f1-a6be-7fd1443e49ae
2026-08-06 00:14:42,精誠H1獲利大增逾八成，EPS創高達6.15元，H2強攻AI與全球IT服務 - investor.com.tw,investor.com.tw,https://www.investor.com.tw/onlinenews/HeadlineNews.asp?AJX=2026/8/5235530
2026-08-06 01:07:00,個股：精誠(6214)H1獲利大增逾八成，EPS創高達6.15元，H2強攻AI與全球IT服務 - fnc.ebc.net.tw,fnc.ebc.net.tw,https://fnc.ebc.net.tw/fncnews/stock/215746
2026-08-06 01:07:00,個股：精誠(6214)H1獲利大增逾八成，EPS創高達6.15元，H2強攻AI與全球IT服務 - 東森電視,東森電視,https://fnc.ebc.net.tw/fncnews/stock/215746
2026-08-07 07:10:03,【2026/07月營收公告】精誠(6214) 七月營收月減年增，全年營運續看向上 - CMoney,CMoney,https://www.cmoney.tw/notes/note-detail.aspx?nid=1246185
2026-08-07 09:10:38,【2026/07月營收公告】精誠(6214) 七月營收月減年增，全年營運續看向上-CMoney 小編 - CMoney投資網誌,CMoney投資網誌,https://cmnews.com.tw/article/cmoneyaicurator-db69b820-923f-11f1-8183-9be84427d409
2026-08-11 21:35:00,台灣大哥大宣布斥資146億元 公開收購精誠至少39％股權 - 自由時報,自由時報,https://stock.ltn.com.tw/article/xgvfkxaa4aaj
2026-08-12 11:42:47,台灣大公開收購精誠、上限291億元 收購後持股過半 - UDN,UDN,https://udn.com/news/story/7252/9687646
2026-08-12 11:50:00,快訊／台灣大晚間拋重訊　最高砸291億「公開收購精誠資訊」 - ETtoday財經雲,ETtoday財經雲,https://finance.ettoday.net/news/3218196
2026-08-12 13:42:45,台灣大砸291億收購精誠股權，持股將逾半-財經焦點情報站 - CMoney投資網誌,CMoney投資網誌,https://cmnews.com.tw/article/forumnews-b341aa93-9653-11f1-9729-a0d59715f1f0
2026-08-12 14:12:42,台灣大擬斥資近三百億收購精誠，取得過半股權-財經焦點情報站 - CMoney投資網誌,CMoney投資網誌,https://cmnews.com.tw/article/forumnews-e2091e96-9657-11f1-a72f-15171ad63a03
