date,title,source,link
2026-08-04 03:19:51,【11:19 即時新聞】健策(3653)亮燈漲停續創波段新高，AI伺服器散熱題材發酵＋投信與主力買盤延續推升多方氣勢 - CMoney,CMoney,https://www.cmoney.tw/notes/note-detail.aspx?nid=1244558
2026-08-04 03:19:51,【11:19 即時新聞】健策(3653)亮燈漲停續創波段新高，AI伺服器散熱題材發酵＋投信與主力買盤延續推升多方氣勢 - CMoney投資網誌,CMoney投資網誌,https://cmnews.com.tw/article/cmoneyairesearcher-5adfa653-8fb3-11f1-aab6-4a5badc94511
2026-08-04 03:19:51,【11:19 即時新聞】健策(3653)亮燈漲停續創波段新高，AI伺服器散熱題材發酵＋投信與主力買盤延續推升多方氣勢 - cmnews.com.tw,cmnews.com.tw,https://cmnews.com.tw/article/cmoneyairesearcher-5adfa653-8fb3-11f1-aab6-4a5badc94511
2026-08-04 03:26:23,【即時新聞】健策(3653)急拉漲停法人喊天價，這「2檔概念股」買盤接棒上攻！ - CMoney投資網誌,CMoney投資網誌,https://cmnews.com.tw/article/newsyoudeservetoknow-4492ce59-8fb4-11f1-b7cc-badf69161851
2026-08-04 03:26:24,【即時新聞】健策(3653)急拉漲停法人喊天價，這「2檔概念股」買盤接棒上攻！ - CMoney,CMoney,https://www.cmoney.tw/notes/note-detail.aspx?nid=1244563
2026-08-04 03:26:24,【即時新聞】健策(3653)急拉漲停法人喊天價，這「2檔概念股」買盤接棒上攻！ - cmoney.tw,cmoney.tw,https://www.cmoney.tw/notes/note-detail.aspx?nid=1244563
2026-08-04 06:41:40,健策(3653)亮燈漲停，月營收創高能否撐起這波漲勢？-王澤明 - CMoney投資網誌,CMoney投資網誌,https://cmnews.com.tw/article/wangzeming-8ca0910c-8fcf-11f1-a652-f1ff39847a77
2026-08-04 06:41:40,健策(3653)亮燈漲停，月營收創高能否撐起這波漲勢？-王澤明 - cmnews.com.tw,cmnews.com.tw,https://cmnews.com.tw/article/wangzeming-8ca0910c-8fcf-11f1-a652-f1ff39847a77
2026-08-04 12:10:41,討論牆 | 盤中速報 - 健策(3653)急拉3.62%報4000.0元，成交605張 - LINE TODAY,LINE TODAY,https://today.line.me/tw/v3/posts/list/article/RBq9K7w
2026-08-05 03:09:11,【即時新聞】健策(3653)強勢亮燈鎖漲停，這「3檔散熱概念股」大戶急卡位！ - CMoney投資網誌,CMoney投資網誌,https://cmnews.com.tw/article/newsyoudeservetoknow-07ffde93-907b-11f1-b789-7d9da80613c1
2026-08-05 03:09:11,【即時新聞】健策(3653)強勢亮燈鎖漲停，這「3檔散熱概念股」大戶急卡位！ - cmnews.com.tw,cmnews.com.tw,https://cmnews.com.tw/article/newsyoudeservetoknow-07ffde93-907b-11f1-b789-7d9da80613c1
2026-08-06 03:39:05,【11:38 即時新聞】健策(3653)股價走強漲5.88%，AI伺服器散熱需求延續＋短中期技術結構偏多、主力與投信買盤支撐 - CMoney投資網誌,CMoney投資網誌,https://cmnews.com.tw/article/cmoneyairesearcher-5f816a18-9148-11f1-999b-e97804905be1
2026-08-06 17:41:16,健策6月EPS 6.45元 - UDN,UDN,https://udn.com/news/story/7252/9675609
2026-08-06 17:41:16,健策6月EPS 6.45元 - udn,udn,https://udn.com/news/story/7252/9675609
2026-08-07 06:09:00,營收：健策(3653)7月營收32億1317萬元，月增率21.25%，年增率90.96% - 富聯網,富聯網,https://ww2.money-link.com.tw/RealtimeNews/NewsContent.aspx?SN=2402479002&PU=0010
2026-08-07 07:07:12,健策7月營收月增21.3% - TechNews 科技新報,TechNews 科技新報,https://finance.technews.tw/2026/08/07/jentech-3653-202607-financial-report/
2026-08-07 07:10:03,【2026/07月營收公告】健策(3653) 七月營收32.13億元，表現亮眼、呈現雙成長，創歷史新高，年增90.96% - CMoney,CMoney,https://www.cmoney.tw/notes/note-detail.aspx?nid=1246283
2026-08-07 09:10:23,【2026/07月營收公告】健策(3653) 七月營收32.13億元，表現亮眼、呈現雙成長，創歷史新高，年增90.96% - CMoney投資網誌,CMoney投資網誌,https://cmnews.com.tw/article/cmoneyaicurator-d257783d-923f-11f1-ad68-3a8fc90dff15
2026-08-10 03:10:03,【08/10處置股公告】健策(3653) 08/10到08/14列入處置股，採2分盤交易 - CMoney,CMoney,https://www.cmoney.tw/notes/note-detail.aspx?nid=1247411
2026-08-10 03:10:03,【08/10處置股公告】健策(3653) 08/10到08/14列入處置股，採2分盤交易 - cmoney.tw,cmoney.tw,https://www.cmoney.tw/notes/note-detail.aspx?nid=1247411
2026-08-10 07:52:01,討論牆 | 盤中速報 - 健策(3653)大跌7.08%，報4070元 - LINE TODAY,LINE TODAY,https://today.line.me/tw/v3/posts/list/article/rmRzED8
2026-08-12 04:00:36,【11:58 即時新聞】健策(3653)股價大漲7.63%，AI高階散熱題材獲買盤迴流＋股價站穩中長期均線上方、主力與法人持續偏多 - CMoney投資網誌,CMoney投資網誌,https://cmnews.com.tw/article/cmoneyairesearcher-5fb845c9-9602-11f1-81dc-3ad5540a8f87
2026-08-12 04:00:36,【11:58 即時新聞】健策(3653)股價大漲7.63%，AI高階散熱題材獲買盤迴流＋股價站穩中長期均線上方、主力與法人持續偏多 - cmnews.com.tw,cmnews.com.tw,https://cmnews.com.tw/article/cmoneyairesearcher-5fb845c9-9602-11f1-81dc-3ad5540a8f87
2026-08-12 07:21:00,「微星、仁寶、健策」接棒「川湖、緯創、緯穎」成為AI伺服器主攻部隊 後續輪到誰站Ｃ位? - 華冠投顧,華冠投顧,https://www.hwa-guan.com.tw/Finance/Press/FArticleDetail/54460
2026-08-13 01:21:14,討論牆| 鉅亨速報- Factset 最新調查：健策(3653-TW)EPS預估上修至60.16元，預估目標價為4880元 - LINE TODAY,LINE TODAY,https://today.line.me/tw/v3/posts/list/article/eLReovg
