date,title,source,link
2026-08-04 03:19:51,【11:19 即時新聞】健策(3653)亮燈漲停續創波段新高，AI伺服器散熱題材發酵＋投信與主力買盤延續推升多方氣勢 - CMoney,CMoney,https://www.cmoney.tw/notes/note-detail.aspx?nid=1244558
2026-08-04 03:19:51,【11:19 即時新聞】健策(3653)亮燈漲停續創波段新高，AI伺服器散熱題材發酵＋投信與主力買盤延續推升多方氣勢 - CMoney投資網誌,CMoney投資網誌,https://cmnews.com.tw/article/cmoneyairesearcher-5adfa653-8fb3-11f1-aab6-4a5badc94511
2026-08-04 03:19:51,【11:19 即時新聞】健策(3653)亮燈漲停續創波段新高，AI伺服器散熱題材發酵＋投信與主力買盤延續推升多方氣勢 - cmnews.com.tw,cmnews.com.tw,https://cmnews.com.tw/article/cmoneyairesearcher-5adfa653-8fb3-11f1-aab6-4a5badc94511
2026-08-04 03:26:23,【即時新聞】健策(3653)急拉漲停法人喊天價，這「2檔概念股」買盤接棒上攻！ - CMoney投資網誌,CMoney投資網誌,https://cmnews.com.tw/article/newsyoudeservetoknow-4492ce59-8fb4-11f1-b7cc-badf69161851
2026-08-04 03:26:24,【即時新聞】健策(3653)急拉漲停法人喊天價，這「2檔概念股」買盤接棒上攻！ - CMoney,CMoney,https://www.cmoney.tw/notes/note-detail.aspx?nid=1244563
2026-08-04 03:26:24,【即時新聞】健策(3653)急拉漲停法人喊天價，這「2檔概念股」買盤接棒上攻！ - cmoney.tw,cmoney.tw,https://www.cmoney.tw/notes/note-detail.aspx?nid=1244563
2026-08-04 06:41:40,健策(3653)亮燈漲停，月營收創高能否撐起這波漲勢？-王澤明 - CMoney投資網誌,CMoney投資網誌,https://cmnews.com.tw/article/wangzeming-8ca0910c-8fcf-11f1-a652-f1ff39847a77
2026-08-04 06:41:40,健策(3653)亮燈漲停，月營收創高能否撐起這波漲勢？-王澤明 - cmnews.com.tw,cmnews.com.tw,https://cmnews.com.tw/article/wangzeming-8ca0910c-8fcf-11f1-a652-f1ff39847a77
2026-08-04 12:10:41,討論牆 | 盤中速報 - 健策(3653)急拉3.62%報4000.0元，成交605張 - LINE TODAY,LINE TODAY,https://today.line.me/tw/v3/posts/list/article/RBq9K7w
2026-08-05 03:09:11,【即時新聞】健策(3653)強勢亮燈鎖漲停，這「3檔散熱概念股」大戶急卡位！ - CMoney投資網誌,CMoney投資網誌,https://cmnews.com.tw/article/newsyoudeservetoknow-07ffde93-907b-11f1-b789-7d9da80613c1
2026-08-05 03:09:11,【即時新聞】健策(3653)強勢亮燈鎖漲停，這「3檔散熱概念股」大戶急卡位！ - cmnews.com.tw,cmnews.com.tw,https://cmnews.com.tw/article/newsyoudeservetoknow-07ffde93-907b-11f1-b789-7d9da80613c1
