date,day_trade_volume,day_trade_ratio
2016-02-01,0,0.0
2016-02-02,0,0.0
2016-02-03,0,0.0
2016-02-15,0,0.0
2016-02-16,0,0.0
2016-02-17,0,0.0
2016-02-18,0,0.0
2016-02-19,0,0.0
2016-02-22,0,0.0
2016-02-23,100000,0.1458
2016-02-24,22000,0.0331
2016-02-25,1000,0.0021
2016-02-26,0,0.0
2016-03-01,1000,0.0005
2016-03-02,1000,0.0007
2016-03-03,119000,0.2798
2016-03-04,0,0.0
2016-03-07,0,0.0
2016-03-08,1000,0.0175
2016-03-09,0,0.0
2016-03-10,8000,0.21
2016-03-11,0,0.0
2016-03-14,2000,0.0247
2016-03-15,0,0.0
2016-03-16,0,0.0
2016-03-17,1000,0.0116
2016-03-18,0,0.0
2016-03-21,0,0.0
2016-03-22,0,0.0
2016-03-23,0,0.0
2016-03-24,0,0.0
2016-03-25,0,0.0
2016-03-28,0,0.0
2016-03-29,0,0.0
2016-03-30,4000,0.0297
2016-03-31,0,0.0
2016-04-01,0,0.0
2016-04-06,0,0.0
2016-04-07,0,0.0
2016-04-08,0,0.0
2016-04-11,0,0.0
2016-04-12,0,0.0
2016-04-13,0,0.0
2016-04-14,2000,0.0842
2016-04-15,0,0.0
2016-04-18,2000,0.0498
2016-04-19,0,0.0
2016-04-20,0,0.0
2016-04-21,0,0.0
2016-04-22,1000,0.0149
2016-04-25,0,0.0
2016-04-26,0,0.0
2016-04-27,0,0.0
2016-04-28,0,0.0
2016-04-29,0,0.0
2016-05-03,0,0.0
2016-05-04,0,0.0
2016-05-05,0,0.0
2016-05-06,0,0.0
2016-05-09,0,0.0
2016-05-10,0,0.0
2016-05-11,0,0.0
2016-05-12,0,0.0
2016-05-13,0,0.0
2016-05-16,1000,0.0289
2016-05-17,0,0.0
2016-05-18,6000,0.1971
2016-05-19,0,0.0
2016-05-20,0,0.0
2016-05-23,0,0.0
2016-05-24,0,0.0
