date,broker_id,broker_name,buy_shares,sell_shares,net_shares,avg_buy_price,avg_sell_price
2026-05-08,1022,合庫台南,0,224,-224,,28.15
2026-05-08,1037,土銀花蓮,0,23000,-23000,,28.2478
2026-05-08,1040,臺銀證券,5000,0,5000,28.27,
2026-05-08,1045,臺銀新竹,0,5000,-5000,,28.16
2026-05-08,1233,彰銀台中,0,1000,-1000,,28.05
2026-05-08,126D,宏遠台南,2000,0,2000,28.3,
2026-05-08,1440,美林證券,3000,0,3000,28.1667,
2026-05-08,1470,摩根士丹利,5000,0,5000,28.3,
2026-05-08,1480,美商高盛亞,18000,6000,12000,28.1583,28.2
2026-05-08,1560,港商野村,0,6000,-6000,,28.175
2026-05-08,1650,星洲瑞銀,0,5000,-5000,,28.36
2026-05-08,5265,美好苗栗,1000,0,1000,28.5,
2026-05-08,5266,美好中壢,1000,0,1000,28.15,
2026-05-08,526K,美好富順,0,2000,-2000,,28.1
2026-05-08,526M,美好市政,0,1000,-1000,,28.15
2026-05-08,5321,高橋龍潭,1000,1000,0,27.9,28.1
2026-05-08,5322,高橋中壢,0,2000,-2000,,28.1
2026-05-08,5387,第一金澎湖,11,0,11,28.15,
2026-05-08,538E,第一金自由,2,0,2,27.975,
2026-05-08,538N,第一金豐原,2000,0,2000,28.25,
2026-05-08,5850,統一,100,10204,-10104,28.1,28.1805
2026-05-08,5853,統一中壢,0,3000,-3000,,28.1833
2026-05-08,5855,統一臺南,0,3000,-3000,,28.0
2026-05-08,5856,統一臺中,0,260,-260,,28.4365
2026-05-08,5858,統一嘉義,33000,7000,26000,28.1924,28.1929
2026-05-08,585F,統一彰化,0,9000,-9000,,28.15
2026-05-08,585M,統一士林,0,2000,-2000,,28.35
2026-05-08,5861,盈溢籬子內,1000,0,1000,28.15,
2026-05-08,601d,奔亞鑫豐,1000,0,1000,28.4,
2026-05-08,611A,台中銀豐原,1000,0,1000,28.0,
2026-05-08,6160,中國信託證,2000,0,2000,28.3,
2026-05-08,6161,中信託三重,5000,11000,-6000,28.1,28.0
2026-05-08,6162,中信託忠孝,14000,0,14000,27.9714,
2026-05-08,616K,中信託高雄,0,1000,-1000,,28.25
2026-05-08,6382,光和田中,0,1000,-1000,,28.5
2026-05-08,6620,口袋證券,0,1,-1,,28.15
2026-05-08,6912,德信中正,1000,0,1000,28.1,
2026-05-08,700C,兆豐來福,3000,4000,-1000,28.3,28.1
2026-05-08,700G,兆豐麻豆,0,1000,-1000,,28.5
2026-05-08,700L,兆豐天母,0,2000,-2000,,28.4
2026-05-08,700S,兆豐大同,0,2000,-2000,,28.0
2026-05-08,700U,兆豐桃鶯,0,1000,-1000,,28.5
2026-05-08,700Z,兆豐高雄,2000,0,2000,28.15,
2026-05-08,700f,兆豐鹿港,0,1000,-1000,,28.45
2026-05-08,700h,兆豐三民,3000,0,3000,28.1,
2026-05-08,700k,兆豐員林,0,3000,-3000,,28.25
2026-05-08,7034,致和金華,0,1000,-1000,,28.15
2026-05-08,7790,國票,1,23,-22,28.0,28.0522
2026-05-08,7795,國票南港,1,0,1,28.3,
2026-05-08,779V,國票天祥,16000,8000,8000,28.2531,28.05
2026-05-08,779c,國票敦北,0,3000,-3000,,28.5167
2026-05-08,779v,國票台中,1000,0,1000,28.35,
2026-05-08,779z,國票博愛,1000,1000,0,28.05,28.1
2026-05-08,8440,摩根大通,32000,0,32000,28.2125,
2026-05-08,8458,康和台南,3000,5000,-2000,28.1667,28.1
2026-05-08,845A,康和內湖,1000,1000,0,28.2,28.15
2026-05-08,845U,康和台北,0,12000,-12000,,28.1208
2026-05-08,8560,新光,2000,3000,-1000,28.425,28.1833
2026-05-08,8561,新光台中,0,5000,-5000,,28.19
2026-05-08,8562,新光高雄,0,8000,-8000,,28.1625
2026-05-08,8564,新光台南,0,2099,-2099,,28.1476
2026-05-08,8580,聯邦證券,49,0,49,28.15,
2026-05-08,8585,聯邦證券三重,10000,0,10000,28.245,
2026-05-08,8710,陽信證券,1000,0,1000,28.3,
2026-05-08,8840,玉山證券,1,0,1,28.45,
2026-05-08,8847,玉山台南,0,50,-50,,28.5
2026-05-08,884C,玉山信義,2000,0,2000,28.15,
2026-05-08,8881,國泰高雄,20,1,19,28.45,28.45
2026-05-08,8882,國泰台中,1000,2010,-1010,28.1,28.1
2026-05-08,8883,國泰松江,0,5,-5,,27.8
2026-05-08,8884,國泰台南,10,362,-352,28.3,28.1072
2026-05-08,8885,國泰桃園,0,2350,-2350,,28.1479
2026-05-08,8886,國泰新莊,0,55,-55,,28.2
2026-05-08,8888,國泰敦南,1086,9962,-8876,28.1387,28.0524
2026-05-08,888A,國泰館前,14000,0,14000,28.15,
2026-05-08,888N,國泰新竹,1,0,1,28.65,
2026-05-08,9100,群益,1000,1000,0,28.5,28.1
2026-05-08,9134,群益開元,0,1000,-1000,,28.4
2026-05-08,913I,群益萬華,1,1000,-999,28.15,28.1
2026-05-08,913N,群益土城,0,2000,-2000,,28.2
2026-05-08,913U,群益崇德,1000,2000,-1000,27.9,28.05
2026-05-08,913Y,群益館前,0,82,-82,,28.2
2026-05-08,9186,群益新竹,0,1,-1,,28.2
2026-05-08,9187,群益彰化,0,1000,-1000,,28.3
2026-05-08,9188,群益三民,27000,0,27000,28.1481,
2026-05-08,9189,群益桃園,1000,0,1000,28.1,
2026-05-08,918E,群益南京,0,2000,-2000,,28.3
2026-05-08,918P,群益天母,14000,14000,0,28.2143,28.1214
2026-05-08,9205,凱基三重,1000,0,1000,28.4,
2026-05-08,9206,凱基高雄,0,54,-54,,28.1019
2026-05-08,920D,凱基市府,4000,0,4000,28.175,
2026-05-08,920F,凱基站前,1000,1130,-130,28.0,28.1115
2026-05-08,920Z,凱基台東,2000,4000,-2000,28.1,27.95
2026-05-08,9211,凱基台南,1000,0,1000,28.15,
2026-05-08,9215,凱基三民,2000,0,2000,28.1,
2026-05-08,9216,凱基信義,4000,0,4000,28.325,
2026-05-08,921C,凱基民權,2000,0,2000,28.375,
2026-05-08,921G,凱基五股,0,10000,-10000,,28.3
2026-05-08,921M,凱基八德,2000,0,2000,28.5,
2026-05-08,9227,凱基城中,200,0,200,28.2,
2026-05-08,9234,凱基竹北,3000,0,3000,28.15,
2026-05-08,9238,凱基士林,0,3008,-3008,,28.0999
2026-05-08,9239,凱基市政,0,1,-1,,28.15
2026-05-08,9255,凱基和平,6000,1000,5000,28.1917,28.3
2026-05-08,9266,凱基新豐,0,500,-500,,28.15
2026-05-08,9268,凱基台北,33001,18000,15001,28.1243,28.3889
2026-05-08,9274,凱基鳳山,0,3000,-3000,,28.1
2026-05-08,9285,凱基中壢,80,1000,-920,28.15,28.15
2026-05-08,9300,華南永昌,2000,1000,1000,28.125,28.15
2026-05-08,9303,永昌高雄,6,0,6,28.15,
2026-05-08,9317,永昌林口,1000,1000,0,28.1,28.55
2026-05-08,9319,永昌鶯歌,5,0,5,28.15,
2026-05-08,9329,永昌朴子,1000,0,1000,28.25,
2026-05-08,9339,永昌竹北,103,0,103,27.8,
2026-05-08,9359,永昌中正,0,3000,-3000,,28.15
2026-05-08,9363,永昌彰化,0,1000,-1000,,28.1
2026-05-08,9369,永昌三重,0,1,-1,,28.35
2026-05-08,9377,華南虎尾,0,10000,-10000,,28.1
2026-05-08,9600,富邦,1,0,1,28.15,
2026-05-08,9604,富邦陽明,196,266,-70,28.15,28.1492
2026-05-08,961K,富邦七賢,0,1000,-1000,,28.4
2026-05-08,961P,富邦和美,0,1000,-1000,,28.4
2026-05-08,961Z,富邦永康,0,1000,-1000,,28.05
2026-05-08,9621,富邦花蓮,0,1000,-1000,,28.1
2026-05-08,9624,富邦竹北,1000,3000,-2000,28.15,28.1
2026-05-08,9627,富邦內湖,3000,0,3000,28.05,
2026-05-08,962A,富邦南港,1000,0,1000,28.15,
2026-05-08,962B,富邦二林,0,10000,-10000,,27.925
2026-05-08,962C,富邦東門,2000,0,2000,28.25,
2026-05-08,962D,富邦新莊,1000,0,1000,28.2,
2026-05-08,962G,富邦斗六,0,2000,-2000,,28.275
2026-05-08,962P,富邦頭份,0,1000,-1000,,28.15
2026-05-08,9634,富邦羅東,2000,0,2000,28.25,
2026-05-08,9636,富邦中壢,2000,0,2000,28.5,
2026-05-08,9647,富邦新竹,2001,2000,1,28.3002,28.125
2026-05-08,9654,富邦永和,2000,1000,1000,28.15,28.1
2026-05-08,9655,富邦板橋,5000,2000,3000,28.1,28.15
2026-05-08,9658,富邦建國,7050,0,7050,28.1943,
2026-05-08,9659,富邦高雄,0,2000,-2000,,28.25
2026-05-08,965K,富邦台中,0,1000,-1000,,28.1
2026-05-08,9661,富邦新店,0,1000,-1000,,28.15
2026-05-08,9672,富邦員林,0,23000,-23000,,28.0978
2026-05-08,9686,富邦宜蘭,3000,1000,2000,28.1,28.3
2026-05-08,9692,富邦嘉義,0,1000,-1000,,28.2
2026-05-08,9800,元大,7000,7000,0,28.1286,28.1357
2026-05-08,9801,元大松江,1000,0,1000,28.55,
2026-05-08,9812,元大台中,0,2000,-2000,,28.2
2026-05-08,9814,元大大益,1000,0,1000,28.25,
2026-05-08,9816,元大新竹,1000,1000,0,28.1,28.5
2026-05-08,981B,元大竹北,1,1000,-999,27.8,27.9
2026-05-08,981F,元大福營,0,9000,-9000,,28.1611
2026-05-08,981S,元大崇德,6000,0,6000,28.1583,
2026-05-08,982B,元大博愛,1000,3000,-2000,28.5,28.5
2026-05-08,9834,元大中壢,1100,1000,100,28.15,28.1
2026-05-08,983B,元大林森,0,10000,-10000,,28.19
2026-05-08,983U,元大頭份,1000,0,1000,28.3,
2026-05-08,983Z,元大鳳山,1,0,1,28.1,
2026-05-08,983j,元大仁愛,7000,0,7000,28.1857,
2026-05-08,984K,元大館前,0,1001,-1001,,28.2004
2026-05-08,9852,元大永春,0,3000,-3000,,28.5
2026-05-08,9853,元大南屯,10,0,10,28.45,
2026-05-08,9858,元大龍潭,3000,0,3000,28.2167,
2026-05-08,9859,元大新竹經,3000,2000,1000,28.1,28.2
2026-05-08,985C,元大鳳中,0,2000,-2000,,28.225
2026-05-08,9863,元大和平,1000,0,1000,28.1,
2026-05-08,9869,元大新盛,1000,0,1000,28.15,
2026-05-08,9871,元大忠孝,10000,0,10000,28.14,
2026-05-08,9874,元大雙和,20,0,20,28.5,
2026-05-08,9879,元大板橋三,0,1103,-1103,,28.2686
2026-05-08,987A,元大楊梅,2000,1,1999,28.3,28.2
2026-05-08,9888,元大鑫永和,0,1000,-1000,,28.25
2026-05-08,988B,元大桃園,0,120,-120,,28.45
2026-05-08,9892,元大屏東,0,2000,-2000,,28.1
2026-05-08,9894,元大桃興,0,2000,-2000,,28.2
2026-05-08,9896,元大台南,21,0,21,28.15,
2026-05-08,989A,元大北投,7000,0,7000,28.1143,
2026-05-08,989B,元大台中港,0,3000,-3000,,28.5
2026-05-08,989E,元大草屯,2,0,2,28.1,
2026-05-08,989G,元大大同,1000,0,1000,28.5,
2026-05-08,989I,元大蘆洲中,0,12000,-12000,,28.2833
2026-05-08,989S,元大鹿港,3000,0,3000,28.2,
2026-05-08,989W,元大豐原,1000,0,1000,28.35,
2026-05-08,989X,元大民生三,2000,2000,0,28.5,28.45
2026-05-08,989Y,元大基隆,2000,0,2000,28.3,
2026-05-08,989a,元大苑裡,0,2000,-2000,,28.175
2026-05-08,989f,元大東港,0,6000,-6000,,28.225
2026-05-08,989g,元大嘉義,1000,0,1000,28.1,
2026-05-08,9A00,永豐金,3271,0,3271,28.1948,
2026-05-08,9A89,永豐金敦北,50,0,50,28.05,
2026-05-08,9A97,永豐金新竹,0,20,-20,,28.5
2026-05-08,9A98,永豐金大園,0,2,-2,,28.425
2026-05-08,9A9B,永豐金中和,0,5000,-5000,,28.15
2026-05-08,9A9D,永豐金忠孝,0,1,-1,,28.05
2026-05-08,9A9J,永豐金板新,1,1000,-999,28.3,28.6
2026-05-08,9A9M,永豐金南投,2000,2001,-1,28.1,28.2499
2026-05-08,9A9d,永豐金古亭,0,1,-1,,28.15
2026-05-08,9B00,台新,424,0,424,28.1,
2026-05-08,9B13,台新三民,1000,10,990,28.05,28.15
2026-05-08,9B1g,台新高雄,53,0,53,28.05,
2026-05-08,9B1h,台新台中,2000,2000,0,28.525,28.15
2026-05-08,9B25,台新五權西,1000,0,1000,28.1,
2026-05-08,9B2D,台新大昌,0,5000,-5000,,28.1
2026-05-08,9B2Y,台新埔里,1000,0,1000,28.2,
2026-05-08,9B2a,台新松德,1323,3294,-1971,28.1437,28.4408
2026-05-08,9B2g,台新中原,0,1000,-1000,,28.1
2026-05-08,9B2l,台新大裕,1000,0,1000,28.25,
2026-05-08,9B2q,台新屏新,0,1000,-1000,,28.1
2026-05-08,9B2r,台新城東,0,5000,-5000,,28.16
2026-05-08,9B2z,台新文心,6000,0,6000,28.15,
2026-05-11,1045,臺銀新竹,0,5000,-5000,,28.45
2026-05-11,104A,臺銀臺中,0,1000,-1000,,28.9
2026-05-11,104C,臺銀高雄,1000,1,999,28.5,28.55
2026-05-11,126X,宏遠新化,20000,0,20000,28.36,
2026-05-11,1470,摩根士丹利,25000,0,25000,28.548,
2026-05-11,1480,美商高盛亞,33001,18000,15001,28.5697,28.4944
2026-05-11,1560,港商野村,3000,26000,-23000,28.5333,28.4885
2026-05-11,1650,星洲瑞銀,0,1000,-1000,,28.75
2026-05-11,2184,亞東新竹,0,200,-200,,28.55
2026-05-11,5265,美好苗栗,1100,2000,-900,28.1818,28.65
2026-05-11,526K,美好富順,0,1000,-1000,,28.75
2026-05-11,526M,美好市政,0,1000,-1000,,28.55
2026-05-11,5385,第一金桃園,2000,0,2000,28.8,
2026-05-11,5386,第一金彰化,1000,0,1000,28.5,
2026-05-11,5387,第一金澎湖,205,1,204,28.4,28.5
2026-05-11,5389,第一金中山,10000,0,10000,28.735,
2026-05-11,538W,第一金華江,0,514,-514,,28.2145
2026-05-11,5850,統一,1000,1100,-100,28.5,28.4228
2026-05-11,5858,統一嘉義,5000,12000,-7000,28.55,28.55
2026-05-11,585D,統一新台中,0,2000,-2000,,28.55
2026-05-11,585F,統一彰化,0,1000,-1000,,28.65
2026-05-11,585c,統一仁愛,0,1,-1,,28.55
2026-05-11,585m,統一竹南,2000,0,2000,28.6,
2026-05-11,6012,奔亞網路,2000,0,2000,28.55,
2026-05-11,601d,奔亞鑫豐,1000,0,1000,28.5,
2026-05-11,611A,台中銀豐原,1000,0,1000,28.55,
2026-05-11,6160,中國信託證,0,1000,-1000,,28.6
2026-05-11,6161,中信託三重,1000,0,1000,28.5,
2026-05-11,6162,中信託忠孝,5000,5000,0,28.3,28.5
2026-05-11,6163,中信託永康,0,1000,-1000,,28.75
2026-05-11,616K,中信託高雄,0,1000,-1000,,28.35
2026-05-11,6380,光和,0,1000,-1000,,28.75
2026-05-11,6460,大昌,0,1000,-1000,,28.15
2026-05-11,6465,大昌桃園,0,1,-1,,28.5
2026-05-11,7007,兆豐竹北,1000,0,1000,28.6,
2026-05-11,700C,兆豐來福,2000,0,2000,28.2,
2026-05-11,700F,兆豐虎尾,3000,0,3000,28.5667,
2026-05-11,700L,兆豐天母,0,2000,-2000,,28.6
2026-05-11,700R,兆豐小港,1000,0,1000,28.55,
2026-05-11,700Z,兆豐高雄,2000,0,2000,28.45,
2026-05-11,700f,兆豐鹿港,2000,2000,0,28.55,28.8
2026-05-11,700g,兆豐南門,5000,5000,0,28.58,28.55
2026-05-11,700h,兆豐三民,10000,0,10000,28.45,
2026-05-11,7033,致和府前,0,1000,-1000,,28.9
2026-05-11,7034,致和金華,0,1000,-1000,,28.45
2026-05-11,7790,國票,549,0,549,28.5328,
2026-05-11,7795,國票南港,3,0,3,28.6333,
2026-05-11,7797,國票中正,6000,0,6000,28.45,
2026-05-11,779P,國票九鼎,450,1,449,28.5167,28.4
2026-05-11,779V,國票天祥,2000,0,2000,28.625,
2026-05-11,779Z,國票安和,0,5000,-5000,,28.45
2026-05-11,779u,國票長城,0,5000,-5000,,28.5
2026-05-11,8380,安泰,2000,0,2000,28.35,
2026-05-11,8440,摩根大通,7000,12000,-5000,28.4429,28.475
2026-05-11,8451,康和延平,0,4000,-4000,,28.25
2026-05-11,8458,康和台南,2140,0,2140,28.5967,
2026-05-11,8560,新光,1000,0,1000,28.45,
2026-05-11,8561,新光台中,0,1001,-1001,,28.7996
2026-05-11,8562,新光高雄,1000,0,1000,28.7,
2026-05-11,8563,新光新竹,0,2000,-2000,,28.675
2026-05-11,8565,新光桃園,3000,0,3000,28.5333,
2026-05-11,8580,聯邦證券,0,48,-48,,28.5
2026-05-11,8840,玉山證券,0,2000,-2000,,28.6
2026-05-11,8841,玉山雙和,0,800,-800,,28.2827
2026-05-11,8846,玉山板橋,0,6000,-6000,,28.625
2026-05-11,8848,玉山嘉義,1000,0,1000,28.55,
2026-05-11,884J,玉山大里,8,0,8,28.2,
2026-05-11,884M,玉山數位,0,1,-1,,28.45
2026-05-11,8881,國泰高雄,15,110,-95,28.15,28.55
2026-05-11,8882,國泰台中,0,99,-99,,28.45
2026-05-11,8883,國泰松江,0,2199,-2199,,28.5045
2026-05-11,8884,國泰台南,13,49,-36,28.4462,28.2439
2026-05-11,8885,國泰桃園,1024,100,924,28.5523,28.35
2026-05-11,8886,國泰新莊,6,0,6,28.35,
2026-05-11,8888,國泰敦南,3085,3733,-648,28.5296,28.6054
2026-05-11,888A,國泰館前,2000,5000,-3000,28.4,28.74
2026-05-11,888K,國泰板橋,0,5399,-5399,,28.7149
2026-05-11,9100,群益,1000,1000,0,28.6,28.55
2026-05-11,9101,群益敦南,0,31,-31,,28.45
2026-05-11,9108,群益海山,0,50,-50,,28.5
2026-05-11,9131,群益民權,0,2000,-2000,,28.55
2026-05-11,9138,群益中港,0,1000,-1000,,28.6
2026-05-11,913R,群益北高雄,0,2000,-2000,,28.45
2026-05-11,913Y,群益館前,0,40,-40,,28.5
2026-05-11,9188,群益三民,10000,3000,7000,28.465,28.75
2026-05-11,9189,群益桃園,100,2000,-1900,28.55,28.45
2026-05-11,918E,群益南京,3000,0,3000,28.55,
2026-05-11,918G,群益新莊,0,3000,-3000,,28.5167
2026-05-11,918H,群益中山,0,5000,-5000,,28.45
2026-05-11,9206,凱基高雄,50,1,49,28.57,28.55
2026-05-11,9209,凱基岡山,0,1000,-1000,,28.85
2026-05-11,920D,凱基市府,0,4000,-4000,,28.55
2026-05-11,920F,凱基站前,0,1000,-1000,,28.6
2026-05-11,920H,凱基基隆,0,2000,-2000,,28.2
2026-05-11,9216,凱基信義,0,1000,-1000,,28.75
2026-05-11,921C,凱基民權,1000,0,1000,28.5406,
2026-05-11,921G,凱基五股,3000,10,2990,28.75,28.25
2026-05-11,921Y,凱基東勢,100,0,100,28.5,
2026-05-11,9227,凱基城中,0,130,-130,,28.7
2026-05-11,9239,凱基市政,49,2,47,28.5,28.55
2026-05-11,9255,凱基和平,0,10000,-10000,,28.75
2026-05-11,9268,凱基台北,37000,20000,17000,28.5473,28.52
2026-05-11,9276,凱基苗栗,0,15,-15,,28.75
2026-05-11,9281,凱基斗六,0,8000,-8000,,28.7
2026-05-11,9285,凱基中壢,0,115,-115,,28.55
2026-05-11,9291,凱基大安,1000,0,1000,28.55,
2026-05-11,9300,華南永昌,5000,0,5000,28.4,
2026-05-11,9302,永昌台中,0,1,-1,,28.4
2026-05-11,9303,永昌高雄,2000,2742,-742,28.6,28.6007
2026-05-11,9322,永昌基隆,0,1000,-1000,,28.6
2026-05-11,9329,永昌朴子,13000,2001,10999,28.5,28.75
2026-05-11,9339,永昌竹北,0,103,-103,,28.3573
2026-05-11,9604,富邦陽明,1098,38340,-37242,28.5321,28.5041
2026-05-11,961F,富邦公益,0,1000,-1000,,28.55
2026-05-11,961H,富邦新板,0,2300,-2300,,28.613
2026-05-11,961K,富邦七賢,0,1000,-1000,,28.5
2026-05-11,961M,富邦木柵,273,0,273,28.55,
2026-05-11,961N,富邦青埔,1000,0,1000,28.55,
2026-05-11,961P,富邦和美,2000,0,2000,28.7,
2026-05-11,9623,富邦台北,14,0,14,28.75,
2026-05-11,9624,富邦竹北,0,1000,-1000,,28.35
2026-05-11,962C,富邦東門,7000,0,7000,28.5786,
2026-05-11,962D,富邦新莊,10000,1000,9000,28.5,28.55
2026-05-11,963A,富邦八德,0,1,-1,,28.55
2026-05-11,9647,富邦新竹,5000,7000,-2000,28.51,28.6857
2026-05-11,9654,富邦永和,2000,0,2000,28.2,
2026-05-11,9655,富邦板橋,0,50,-50,,28.5
2026-05-11,9657,富邦苗栗,2000,0,2000,28.55,
2026-05-11,9659,富邦高雄,2000,0,2000,28.8,
2026-05-11,9661,富邦新店,2000,0,2000,28.55,
2026-05-11,9663,富邦敦南,0,1000,-1000,,28.6
2026-05-11,966F,富邦左營,1000,0,1000,28.6,
2026-05-11,9672,富邦員林,4000,8000,-4000,28.55,28.5
2026-05-11,9677,富邦三重,0,6000,-6000,,28.5083
2026-05-11,9697,富邦虎尾,0,1000,-1000,,28.75
2026-05-11,969C,富邦北港,0,3000,-3000,,28.5
2026-05-11,9800,元大,7000,7000,0,28.4214,28.5071
2026-05-11,980C,元大斗六,0,1000,-1000,,28.75
2026-05-11,980Q,元大南崁,1,0,1,28.15,
2026-05-11,980d,元大沙鹿,9000,0,9000,28.4556,
2026-05-11,980u,元大府城,0,400,-400,,28.4
2026-05-11,980w,元大西屯,1000,0,1000,28.45,
2026-05-11,981B,元大竹北,0,1000,-1000,,28.3
2026-05-11,981C,元大路竹,7001,0,7001,28.5429,
2026-05-11,981E,元大發財,1000,100,900,28.55,28.5
2026-05-11,981F,元大福營,1,0,1,28.4,
2026-05-11,981G,元大彰化,0,2100,-2100,,28.7857
2026-05-11,981L,元大莒光,4000,0,4000,28.45,
2026-05-11,981M,元大苗栗,5000,0,5000,28.52,
2026-05-11,981Q,元大太平,0,11000,-11000,,28.55
2026-05-11,981R,元大竹山,0,1953,-1953,,28.4268
2026-05-11,981S,元大崇德,0,1000,-1000,,28.25
2026-05-11,981V,元大民雄,2000,0,2000,28.6,
2026-05-11,981g,元大大里,3000,6000,-3000,28.45,28.45
2026-05-11,981y,元大善化,0,1,-1,,28.35
2026-05-11,982C,元大六合,2000,0,2000,28.55,
2026-05-11,9831,元大四維,0,2000,-2000,,28.55
2026-05-11,9834,元大中壢,0,15000,-15000,,28.5767
2026-05-11,9835,元大員林中,0,200,-200,,28.5
2026-05-11,9838,元大豐原,4000,0,4000,28.575,
2026-05-11,983G,元大上新莊,1000,0,1000,28.45,
2026-05-11,983f,元大竹東,40,0,40,28.4,
2026-05-11,983j,元大仁愛,6000,7000,-1000,28.5167,28.4
2026-05-11,984E,元大南勢角,0,1000,-1000,,28.2
2026-05-11,984K,元大館前,70,0,70,28.4,
2026-05-11,9853,元大南屯,10,0,10,28.55,
2026-05-11,985C,元大鳳中,80,0,80,28.4,
2026-05-11,9863,元大和平,1000,0,1000,28.65,
2026-05-11,9867,元大內湖民,0,10000,-10000,,28.45
2026-05-11,9875,元大土城永,0,11000,-11000,,28.5727
2026-05-11,9879,元大板橋三,0,1,-1,,28.4
2026-05-11,988B,元大桃園,5000,0,5000,28.55,
2026-05-11,9898,元大新莊,8001,4001,4000,28.6374,28.7499
2026-05-11,989C,元大板橋,1000,0,1000,28.6,
2026-05-11,989D,元大左營,0,50,-50,,28.15
2026-05-11,989E,元大草屯,162,1000,-838,28.475,28.55
2026-05-11,989S,元大鹿港,5000,0,5000,28.52,
2026-05-11,989U,元大大甲,0,2000,-2000,,28.45
2026-05-11,989W,元大豐原,0,1000,-1000,,28.8
2026-05-11,989d,元大北屯,0,4000,-4000,,28.65
2026-05-11,989m,元大信義,0,1000,-1000,,28.7
2026-05-11,9A00,永豐金,16001,6361,9640,28.4969,28.3314
2026-05-11,9A69,永豐金屏東,0,30,-30,,28.55
2026-05-11,9A97,永豐金新竹,0,642,-642,,28.55
2026-05-11,9A98,永豐金大園,11000,10000,1000,28.7273,28.55
2026-05-11,9A99,永豐金中壢,0,1,-1,,28.55
2026-05-11,9A9D,永豐金忠孝,0,1000,-1000,,28.75
2026-05-11,9A9J,永豐金板新,10,0,10,28.5,
2026-05-11,9A9K,永豐金三重,120,0,120,28.55,
2026-05-11,9A9U,永豐金中正,1000,0,1000,28.45,
2026-05-11,9A9W,永豐金市政,9001,0,9001,28.5166,
2026-05-11,9A9a,永豐金苓雅,0,3000,-3000,,28.45
2026-05-11,9A9c,永豐金永康,1000,0,1000,28.4,
2026-05-11,9A9h,永豐金台南,271,0,271,28.7,
2026-05-11,9A9s,永豐金彰化,0,2,-2,,28.5
2026-05-11,9A9x,永豐金桃園,0,2000,-2000,,28.55
2026-05-11,9B00,台新,0,2000,-2000,,28.75
2026-05-11,9B11,台新新營,200,0,200,28.15,
2026-05-11,9B13,台新三民,1000,0,1000,28.6,
2026-05-11,9B16,台新台南,8001,0,8001,28.5999,
2026-05-11,9B18,台新建北,0,7000,-7000,,28.4786
2026-05-11,9B19,台新新莊,10000,0,10000,28.7,
2026-05-11,9B1d,台新左楠,1000,0,1000,28.45,
2026-05-11,9B1g,台新高雄,11000,4000,7000,28.8273,28.5
2026-05-11,9B1h,台新台中,4001,4000,1,28.475,28.625
2026-05-11,9B1n,台新屏東,4000,0,4000,28.7875,
2026-05-11,9B21,台新九如,0,5000,-5000,,28.6
2026-05-11,9B22,台新新店,0,10000,-10000,,28.6
2026-05-11,9B25,台新五權西,0,1000,-1000,,28.75
2026-05-11,9B28,台新北新莊,0,4000,-4000,,28.3
2026-05-11,9B2P,台新同大,2000,0,2000,28.6,
2026-05-11,9B2S,台新基隆,2000,0,2000,28.55,
2026-05-11,9B2W,台新吉利,0,1000,-1000,,28.5
2026-05-11,9B2Y,台新埔里,1000,0,1000,28.55,
2026-05-11,9B2a,台新松德,4988,2000,2988,28.3483,28.425
2026-05-11,9B2i,台新中港,0,4000,-4000,,28.4875
2026-05-11,9B2m,台新成功,0,2000,-2000,,28.55
2026-05-11,9B2n,台新西松,0,2000,-2000,,28.45
2026-05-11,9B2o,台新新興,0,110,-110,,28.4927
2026-05-11,9B2r,台新城東,4000,0,4000,28.7375,
2026-05-12,1028,合庫彰化,0,9000,-9000,,28.2
2026-05-12,102E,合庫桃園,0,1000,-1000,,28.4
2026-05-12,1037,土銀花蓮,0,5000,-5000,,28.32
2026-05-12,104A,臺銀臺中,4500,3000,1500,28.5056,28.2
2026-05-12,126H,宏遠中和,0,5000,-5000,,28.25
2026-05-12,126L,宏遠台中,0,1000,-1000,,28.8
2026-05-12,1440,美林證券,35000,0,35000,28.2757,
2026-05-12,1470,摩根士丹利,46000,3000,43000,28.1739,28.35
2026-05-12,1480,美商高盛亞,50000,3000,47000,28.287,28.3667
2026-05-12,1650,星洲瑞銀,0,8000,-8000,,28.3938
2026-05-12,5265,美好苗栗,100,4000,-3900,28.25,28.45
2026-05-12,526A,美好中和,0,1000,-1000,,28.25
2026-05-12,526K,美好富順,0,2000,-2000,,28.8
2026-05-12,5321,高橋龍潭,0,1000,-1000,,28.15
2026-05-12,5381,第一金員林,1000,0,1000,28.2,
2026-05-12,5384,第一金台南,0,5000,-5000,,28.12
2026-05-12,5387,第一金澎湖,14,0,14,28.0,
2026-05-12,538D,第一金忠孝,0,2000,-2000,,28.3
2026-05-12,5858,統一嘉義,11000,9000,2000,28.2273,28.45
2026-05-12,585Q,統一三多,1000,0,1000,28.2,
2026-05-12,585m,統一竹南,1000,0,1000,28.2,
2026-05-12,5861,盈溢籬子內,2000,0,2000,28.35,
2026-05-12,601d,奔亞鑫豐,3000,0,3000,28.4,
2026-05-12,6162,中信託忠孝,9000,2000,7000,28.2167,28.2
2026-05-12,6164,中信託文心,0,3,-3,,28.25
2026-05-12,6382,光和田中,0,3000,-3000,,28.2
